NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,preference,d210_min,Eform,range,dev_NI
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,29.5,5,2.5,32,27,29.5,68.5,21,10.5,79,58,68.5,65.786598,13.706805,6.8534025,72.64,58.933195,65.786598,1489.7,556.6,278.3,1768,1211.4,1489.7,11.5,5,2.5,14,9,11.5,4,0,0,4,4,4,123,6,3,126,120,123,1.945,0.13,0.065,2.01,1.88,1.945,2,0,0,2,2,2,1,2,1,2,0,1,8.5,3,1.5,10,7,8.5,0,0,0,0,0,0,11.5,5,2.5,14,9,11.5,0,0,0,0,0,0,2,4,2,4,0,2,1.5,3,1.5,3,0,1.5,0,0,0,0,0,0,3.5,1,0.5,4,3,3.5,16.625,12.76,6.38,23.005,10.245,16.625,0.1915,0.383,0.1915,0.383,0,0.1915,0.7742356,1.5484712,0.7742356,1.5484712,0,0.7742356,209.5,31,15.5,225,194,209.5,0.17391304,0.086956522,0.73913043,0,0,0.004216087,0.002108044,1,0.058618281,-0.23102729,0.44516348,0.235
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,30,6,3,33,27,30,71,26,13,84,58,71,66.927398,15.988405,7.9942025,74.9216,58.933195,66.927398,1429,678,339,1768,1090,1429,12,6,3,15,9,12,4,0,0,4,4,4,122.5,7,3.5,126,119,122.5,2.03,0.3,0.15,2.18,1.88,2.03,2,0,0,2,2,2,1.5,3,1.5,3,0,1.5,8.5,3,1.5,10,7,8.5,0,0,0,0,0,0,12,6,3,15,9,12,0,0,0,0,0,0,1.5,3,1.5,3,0,1.5,1.5,3,1.5,3,0,1.5,0,0,0,0,0,0,3,0,0,3,3,3,16.21,11.93,5.965,22.175,10.245,16.21,0,0,0,0,0,0,0.7742356,1.5484712,0.7742356,1.5484712,0,0.7742356,180,28,14,194,166,180,0.16666667,0.125,0.70833333,0,1,0.022248763,0.011124381,1,0.19270266,-0.33041166,0.48717194,0.395
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,38.5,23,11.5,50,27,38.5,69,22,11,80,58,69,88.821598,59.776805,29.888402,118.71,58.933195,88.821598,1136.54,1262.92,631.46,1768,505.08,1136.54,11.5,5,2.5,14,9,11.5,4.5,1,0.5,5,4,4.5,132.5,13,6.5,139,126,132.5,1.92,0.08,0.04,1.96,1.88,1.92,2,0,0,2,2,2,1,2,1,2,0,1,8.5,3,1.5,10,7,8.5,0,0,0,0,0,0,11.5,5,2.5,14,9,11.5,0,0,0,0,0,0,2,4,2,4,0,2,1.5,3,1.5,3,0,1.5,0,0,0,0,0,0,3.5,1,0.5,4,3,3.5,21.765,23.04,11.52,33.285,10.245,21.765,0,0,0,0,0,0,0.7742356,1.5484712,0.7742356,1.5484712,0,0.7742356,167.5,53,26.5,194,141,167.5,0.17391304,0.086956522,0.73913043,0,0,0.001598721,0.00079936,1,0.11109758,-0.16234077,0.21484485,0.46
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,39,24,12,51,27,39,71.5,27,13.5,85,58,71.5,90.346598,62.826805,31.413403,121.76,58.933195,90.346598,1335.89,864.22,432.11,1768,903.78,1335.89,12,6,3,15,9,12,4.5,1,0.5,5,4,4.5,132.5,13,6.5,139,126,132.5,1.965,0.17,0.085,2.05,1.88,1.965,2,0,0,2,2,2,1.5,3,1.5,3,0,1.5,8.5,3,1.5,10,7,8.5,0,0,0,0,0,0,12,6,3,15,9,12,0,0,0,0,0,0,1.5,3,1.5,3,0,1.5,1.5,3,1.5,3,0,1.5,0,0,0,0,0,0,3,0,0,3,3,3,20.9025,21.315,10.6575,31.56,10.245,20.9025,0,0,0,0,0,0,0.7742356,1.5484712,0.7742356,1.5484712,0,0.7742356,180,28,14,194,166,180,0.16666667,0.125,0.70833333,0,1,0.007198962,0.003599481,1,0.2852907,-0.19629874,0.25608183,0.34
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,39.5,25,12.5,52,27,39.5,74,32,16,90,58,74,93.266597,68.666805,34.333403,127.6,58.933195,93.266597,1245.33,1045.34,522.67,1768,722.66,1245.33,12.5,7,3.5,16,9,12.5,4.5,1,0.5,5,4,4.5,132,12,6,138,126,132,1.99,0.22,0.11,2.1,1.88,1.99,2,0,0,2,2,2,2,4,2,4,0,2,8.5,3,1.5,10,7,8.5,0,0,0,0,0,0,12.5,7,3.5,16,9,12.5,0,0,0,0,0,0,1,2,1,2,0,1,1.5,3,1.5,3,0,1.5,0,0,0,0,0,0,2.5,1,0.5,3,2,2.5,22.504167,24.518333,12.259167,34.763333,10.245,22.504167,0.232,0.464,0.232,0.464,0,0.232,0.7742356,1.5484712,0.7742356,1.5484712,0,0.7742356,173,42,21,194,152,173,0.16,0.16,0.68,0,1,0.012027089,0.006013545,1,0.79171942,-0.20389442,0.29739608,0.38
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,53.5,53,26.5,80,27,53.5,64.5,13,6.5,71,58,64.5,129.7616,141.65681,70.828403,200.59,58.933195,129.7616,1001.16,1533.68,766.84,1768,234.32,1001.16,10.5,3,1.5,12,9,10.5,5,2,1,6,4,5,129,6,3,132,126,129,1.94,0.12,0.06,2,1.88,1.94,2,0,0,2,2,2,0,0,0,0,0,0,8.5,3,1.5,10,7,8.5,7,14,7,14,0,7,17.5,17,8.5,26,9,17.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,3,1.5,3,0,1.5,0,0,0,0,0,0,1.5,3,1.5,3,0,1.5,17.741293,14.992586,7.4962931,25.237586,10.245,17.741293,0,0,0,0,0,0,0.7742356,1.5484712,0.7742356,1.5484712,0,0.7742356,180,28,14,194,166,180,0.11428571,0,0.48571429,0.4,0,0.003593528,0.001796764,0,-0.59227017,0,0,0.295
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,54.5,55,27.5,82,27,54.5,69.5,23,11.5,81,58,69.5,133.0666,148.2668,74.133402,207.2,58.933195,133.0666,1184.305,1167.39,583.695,1768,600.61,1184.305,11.5,5,2.5,14,9,11.5,5,2,1,6,4,5,136,20,10,146,126,136,2.105,0.45,0.225,2.33,1.88,2.105,2,0,0,2,2,2,1,2,1,2,0,1,8.5,3,1.5,10,7,8.5,7,14,7,14,0,7,18.5,19,9.5,28,9,18.5,0,0,0,0,0,0,2,4,2,4,0,2,1.5,3,1.5,3,0,1.5,0,0,0,0,0,0,3.5,1,0.5,4,3,3.5,19.1775,17.865,8.9325,28.11,10.245,19.1775,0,0,0,0,0,0,0.7742356,1.5484712,0.7742356,1.5484712,0,0.7742356,209.5,31,15.5,225,194,209.5,0.10810811,0.054054054,0.45945946,0.37837838,0,0.049364908,0.024682454,1,0.16295326,0,0,0.05
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,55,56,28,83,27,55,72,28,14,86,58,72,133.9568,150.04721,75.023603,208.9804,58.933195,133.9568,1156.2,1223.6,611.8,1768,544.4,1156.2,12,6,3,15,9,12,5,2,1,6,4,5,137,22,11,148,126,137,1.95,0.14,0.07,2.02,1.88,1.95,2,0,0,2,2,2,1.5,3,1.5,3,0,1.5,8.5,3,1.5,10,7,8.5,7,14,7,14,0,7,19,20,10,29,9,19,0,0,0,0,0,0,1.5,3,1.5,3,0,1.5,1.5,3,1.5,3,0,1.5,0,0,0,0,0,0,3,0,0,3,3,3,21.5975,22.705,11.3525,32.95,10.245,21.5975,0,0,0,0,0,0,0.7742356,1.5484712,0.7742356,1.5484712,0,0.7742356,103,182,91,194,12,103,0.10526316,0.078947368,0.44736842,0.36842105,0,0.004888015,0.002444007,1,0.91088579,0,0,0.01
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,30,4,2,32,28,30,70,18,9,79,61,70,65.6667,13.9466,6.9733,72.64,58.6934,65.6667,1469.7,516.6,258.3,1728,1211.4,1469.7,12,4,2,14,10,12,4,0,0,4,4,4,122,4,2,124,120,122,1.96,0.1,0.05,2.01,1.91,1.96,2,0,0,2,2,2,1,2,1,2,0,1,9,2,1,10,8,9,0,0,0,0,0,0,12,4,2,14,10,12,0,0,0,0,0,0,2,4,2,4,0,2,1,2,1,2,0,1,0,0,0,0,0,0,3,2,1,4,2,3,16.6625,12.685,6.3425,23.005,10.32,16.6625,0.1915,0.383,0.1915,0.383,0,0.1915,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,225,0,0,225,225,225,0.16666667,0.083333333,0.75,0,0,0.002496878,0.001248439,0.61,-0.21469356,-0.32497714,0.86469986,0.11
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,30.5,5,2.5,33,28,30.5,72.5,23,11.5,84,61,72.5,66.8075,16.2282,8.1141,74.9216,58.6934,66.8075,1409,638,319,1728,1090,1409,12.5,5,2.5,15,10,12.5,4,0,0,4,4,4,121.5,5,2.5,124,119,121.5,2.045,0.27,0.135,2.18,1.91,2.045,2,0,0,2,2,2,1.5,3,1.5,3,0,1.5,9,2,1,10,8,9,0,0,0,0,0,0,12.5,5,2.5,15,10,12.5,0,0,0,0,0,0,1.5,3,1.5,3,0,1.5,1,2,1,2,0,1,0,0,0,0,0,0,2.5,1,0.5,3,2,2.5,16.2475,11.855,5.9275,22.175,10.32,16.2475,0,0,0,0,0,0,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,195.5,59,29.5,225,166,195.5,0.16,0.12,0.72,0,1,0.018059929,0.009029965,0,-0.97993433,-0.31909783,0.75628501,0.05
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,39,22,11,50,28,39,70.5,19,9.5,80,61,70.5,88.7017,60.0166,30.0083,118.71,58.6934,88.7017,1116.54,1222.92,611.46,1728,505.08,1116.54,12,4,2,14,10,12,4.5,1,0.5,5,4,4.5,131.5,15,7.5,139,124,131.5,1.935,0.05,0.025,1.96,1.91,1.935,2,0,0,2,2,2,1,2,1,2,0,1,9,2,1,10,8,9,0,0,0,0,0,0,12,4,2,14,10,12,0,0,0,0,0,0,2,4,2,4,0,2,1,2,1,2,0,1,0,0,0,0,0,0,3,2,1,4,2,3,21.8025,22.965,11.4825,33.285,10.32,21.8025,0,0,0,0,0,0,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,183,84,42,225,141,183,0.16666667,0.083333333,0.75,0,0,0.000624805,0.000312402,1,0.39984204,-0.31329683,0.68858122,0.115
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,39.5,23,11.5,51,28,39.5,73,24,12,85,61,73,90.2267,63.0666,31.5333,121.76,58.6934,90.2267,1315.89,824.22,412.11,1728,903.78,1315.89,12.5,5,2.5,15,10,12.5,4.5,1,0.5,5,4,4.5,131.5,15,7.5,139,124,131.5,1.98,0.14,0.07,2.05,1.91,1.98,2,0,0,2,2,2,1.5,3,1.5,3,0,1.5,9,2,1,10,8,9,0,0,0,0,0,0,12.5,5,2.5,15,10,12.5,0,0,0,0,0,0,1.5,3,1.5,3,0,1.5,1,2,1,2,0,1,0,0,0,0,0,0,2.5,1,0.5,3,2,2.5,20.94,21.24,10.62,31.56,10.32,20.94,0,0,0,0,0,0,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,195.5,59,29.5,225,166,195.5,0.16,0.12,0.72,0,1,0.004888015,0.002444007,1,0.69263364,-0.28483324,0.56850351,0.005
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,40,24,12,52,28,40,75.5,29,14.5,90,61,75.5,93.1467,68.9066,34.4533,127.6,58.6934,93.1467,1225.33,1005.34,502.67,1728,722.66,1225.33,13,6,3,16,10,13,4.5,1,0.5,5,4,4.5,131,14,7,138,124,131,2.005,0.19,0.095,2.1,1.91,2.005,2,0,0,2,2,2,2,4,2,4,0,2,9,2,1,10,8,9,0,0,0,0,0,0,13,6,3,16,10,13,0,0,0,0,0,0,1,2,1,2,0,1,1,2,1,2,0,1,0,0,0,0,0,0,2,0,0,2,2,2,22.541667,24.443333,12.221667,34.763333,10.32,22.541667,0.232,0.464,0.232,0.464,0,0.232,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,188.5,73,36.5,225,152,188.5,0.15384615,0.15384615,0.69230769,0,1,0.008984397,0.004492199,1,0.66338656,-0.22529981,0.33737796,0.035
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,54,52,26,80,28,54,66,10,5,71,61,66,129.6417,141.8966,70.9483,200.59,58.6934,129.6417,981.16,1493.68,746.84,1728,234.32,981.16,11,2,1,12,10,11,5,2,1,6,4,5,128,8,4,132,124,128,1.955,0.09,0.045,2,1.91,1.955,2,0,0,2,2,2,0,0,0,0,0,0,9,2,1,10,8,9,7,14,7,14,0,7,18,16,8,26,10,18,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,1,2,1,2,0,1,17.778793,14.917586,7.4587931,25.237586,10.32,17.778793,0,0,0,0,0,0,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,195.5,59,29.5,225,166,195.5,0.11111111,0,0.5,0.38888889,0,0.002022951,0.001011476,1,0.48309083,0,0,0.64
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,55,54,27,82,28,55,71,20,10,81,61,71,132.9467,148.5066,74.2533,207.2,58.6934,132.9467,1164.305,1127.39,563.695,1728,600.61,1164.305,12,4,2,14,10,12,5,2,1,6,4,5,135,22,11,146,124,135,2.12,0.42,0.21,2.33,1.91,2.12,2,0,0,2,2,2,1,2,1,2,0,1,9,2,1,10,8,9,7,14,7,14,0,7,19,18,9,28,10,19,0,0,0,0,0,0,2,4,2,4,0,2,1,2,1,2,0,1,0,0,0,0,0,0,3,2,1,4,2,3,19.215,17.79,8.895,28.11,10.32,19.215,0,0,0,0,0,0,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,225,0,0,225,225,225,0.10526316,0.052631579,0.47368421,0.36842105,0,0.043141733,0.021570867,1,0.18021753,0,0,0.395
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,55.5,55,27.5,83,28,55.5,73.5,25,12.5,86,61,73.5,133.8369,150.287,75.1435,208.9804,58.6934,133.8369,1136.2,1183.6,591.8,1728,544.4,1136.2,12.5,5,2.5,15,10,12.5,5,2,1,6,4,5,136,24,12,148,124,136,1.965,0.11,0.055,2.02,1.91,1.965,2,0,0,2,2,2,1.5,3,1.5,3,0,1.5,9,2,1,10,8,9,7,14,7,14,0,7,19.5,19,9.5,29,10,19.5,0,0,0,0,0,0,1.5,3,1.5,3,0,1.5,1,2,1,2,0,1,0,0,0,0,0,0,2.5,1,0.5,3,2,2.5,21.635,22.63,11.315,32.95,10.32,21.635,0,0,0,0,0,0,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,118.5,213,106.5,225,12,118.5,0.1025641,0.076923077,0.46153846,0.35897436,0,0.003020429,0.001510215,1,0.54583925,-0.059689885,0.088963072,0.335
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,30.5,3,1.5,32,29,30.5,71.5,15,7.5,79,64,71.5,68.093,9.094,4.547,72.64,63.546,68.093,1284.585,146.37,73.185,1357.77,1211.4,1284.585,12.5,3,1.5,14,11,12.5,4,0,0,4,4,4,126,12,6,132,120,126,1.955,0.11,0.055,2.01,1.9,1.955,1.5,1,0.5,2,1,1.5,1,2,1,2,0,1,10,0,0,10,10,10,0,0,0,0,0,0,12.5,3,1.5,14,11,12.5,0.5,1,0.5,1,0,0.5,2,4,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,1.5,4,1,2.5,17.0375,11.935,5.9675,23.005,11.07,17.0375,0.1915,0.383,0.1915,0.383,0,0.1915,0,0,0,0,0,0,225,0,0,225,225,225,0.12,0.08,0.8,0,0,0.003020429,0.001510215,0,-0.043864981,-0.009465075,0.03556596,0.38
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,31,4,2,33,29,31,74,20,10,84,64,74,69.2338,11.3756,5.6878,74.9216,63.546,69.2338,1223.885,267.77,133.885,1357.77,1090,1223.885,13,4,2,15,11,13,4,0,0,4,4,4,125.5,13,6.5,132,119,125.5,2.04,0.28,0.14,2.18,1.9,2.04,1.5,1,0.5,2,1,1.5,1.5,3,1.5,3,0,1.5,10,0,0,10,10,10,0,0,0,0,0,0,13,4,2,15,11,13,0.5,1,0.5,1,0,0.5,1.5,3,1.5,3,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,1,2,16.6225,11.105,5.5525,22.175,11.07,16.6225,0,0,0,0,0,0,0,0,0,0,0,0,195.5,59,29.5,225,166,195.5,0.11538462,0.11538462,0.76923077,0,0,0.019409169,0.009704584,1,0.093793838,0,0,0.54
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,39.5,21,10.5,50,29,39.5,72,16,8,80,64,72,91.128,55.164,27.582,118.71,63.546,91.128,931.425,852.69,426.345,1357.77,505.08,931.425,12.5,3,1.5,14,11,12.5,4.5,1,0.5,5,4,4.5,135.5,7,3.5,139,132,135.5,1.93,0.06,0.03,1.96,1.9,1.93,1.5,1,0.5,2,1,1.5,1,2,1,2,0,1,10,0,0,10,10,10,0,0,0,0,0,0,12.5,3,1.5,14,11,12.5,0.5,1,0.5,1,0,0.5,2,4,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,1.5,4,1,2.5,22.1775,22.215,11.1075,33.285,11.07,22.1775,0,0,0,0,0,0,0,0,0,0,0,0,183,84,42,225,141,183,0.12,0.08,0.8,0,0,0.000899595,0.000449798,1,0.074975627,-0.072670768,0.05163116,0.605
2,0.70710678,0.62996052,0.57434918,0.55204476,0.53588673,40,22,11,51,29,40,74.5,21,10.5,85,64,74.5,92.653,58.214,29.107,121.76,63.546,92.653,1130.775,453.99,226.995,1357.77,903.78,1130.775,13,4,2,15,11,13,4.5,1,0.5,5,4,4.5,135.5,7,3.5,139,132,135.5,1.975,0.15,0.075,2.05,1.9,1.975,1.5,1,0.5,2,1,1.5,1.5,3,1.5,3,0,1.5,10,0,0,10,10,10,0,0,0,0,0,0,13,4,2,15,11,13,0.5,1,0.5,1,0,0.5,1.5,3,1.5,3,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,1,2,21.315,20.49,10.245,31.56,11.07,21.315,0,0,0,0,0,0,0,0,0,0,0,0,195.5,59,29.5,225,166,195.5,0.11538462,0.11538462,0.76923077,0,0,0.005609209,0.002804605,1,0.092151798,0,0,0.485
